sent_id	word_char	upos	character_token_n	stroke_n
F200053	早退	v	2	21
F200053	呼啦	o	2	19
F200053	迟到	v	2	15
F200054	罐子	n	2	26
F200054	毫无顾虑	l	4	35
F200055	咣当	o	2	15
F200055	售货机	n	3	25
F200057	自得其乐	i	4	30
F200058	见怪不怪	i	4	24
F200060	尽兴	v	2	12
F200062	万圣节	t	3	13
F200062	装扮	v	2	19
F200062	妖魔鬼怪	i	4	44
F200064	下课	v	2	13
F200064	拐角	n	2	15
F200065	着呢	y	2	19
F200065	蜡	ng	1	14
F200065	故意	d	2	22
F200066	天翻地覆	i	4	46
F200068	洪流	n	2	19
F200069	招贴	n	2	17
F200069	铺天盖地	i	4	33
F200069	裹挟	v	2	23
F200074	压根儿	d	3	18
F200075	名不见经传	l	5	28
F200075	小报	n	2	10
F200076	大报	n	2	10
F200076	邮报	n	2	14
F200076	Ｅ	nx	1	0
F200077	饥不择食	i	4	26
F200077	狼吞虎咽	i	4	44
F200079	恶果	n	2	18
F200079	超量	v	2	24
F200079	倾泻	v	2	18
F200079	保护性	b	3	24
F200079	临界	b	2	18
F200080	一窝蜂	d	3	26
F200081	Ｗ	nx	1	0
F200081	导语	n	2	15
F200081	挖空心思	i	4	30
F200084	漏掉	v	2	25
F200084	精华	n	2	20
F200085	作文	n	2	11
F200085	谆谆告诫	i	4	36
F200086	简	ag	1	13
F200087	每篇	r	2	22
F200089	吃香	a	2	15
F210001	观感	n	2	19
F210002	艾	nr	1	5
F210002	铁纹	nr	2	17
F210003	吃请	v	2	16
F210004	瘴	ng	1	16
F210004	贝尔格莱德	ns	5	44
F210004	飞往	v	2	11
F210005	团中央	nt	3	15
F210005	塔斯纳迪	nr	4	39
F210006	行李箱	n	3	28
F210006	愣	dg	1	12
F210009	久等	v	2	15
F210009	歉意	n	2	27
F210009	饭前	t	2	16
F210009	付账	v	2	13
F210010	沙拉	n	2	15
F210010	主菜	n	2	16
F210011	郑重其事	i	4	33
F210011	特意	d	2	23
F210013	接风洗尘	i	4	30
F210013	教科文	j	3	24
F210015	料到	v	2	18
F210016	桑伯特亥依	ns	5	41
F210016	奥地利	ns	3	25
F210017	福林	q	2	21
F210017	餐餐	n	2	32
F210017	野味儿	n	3	21
F210017	暗想	v	2	26
F210018	佩奇	ns	2	16
F210019	酒家	n	2	20
F210019	不在少数	l	4	27
F210021	公事公办	i	4	20
F210021	私了	v	2	9
F210023	爱莉考	nr	3	26
F210023	会面	v	2	15
F210026	车钱	n	2	14
F210027	报销	v	2	19
F210027	车费	n	2	13
F210028	好样儿的	n	4	26
F210029	哑巴亏	n	3	26
F210030	多瑙河	ns	3	27
F210030	叨	vg	1	5
F210030	八点	t	2	11
F210030	十一点	t	3	12
F210034	领教	v	2	22
F210035	团委	n	2	14
F210035	画册	n	2	13
F210036	哪样	r	2	19
F210037	信口	d	2	12
F210037	胡诌	v	2	15
F210038	出游	v	2	17
F210038	公干	n	2	7
F210039	八九	m	2	4
F210041	饭后	t	2	13
F210041	收据	n	2	17
F210043	布达	ns	2	11
F210043	佩斯	ns	2	20
F210043	联成	v	2	18
F210043	界河	n	2	17
F210046	早有所闻	l	4	35
F210047	志摩	nr	2	22
F210050	概念化	vn	3	25
F210050	味同嚼蜡	i	4	48
F210051	巴掌	n	2	16
F210051	惊愕	an	2	23
F210051	不快	a	2	11
F210054	着意	d	2	24
F210054	油亮	z	2	17
F210054	彬彬有礼	i	4	33
F210055	跪坐	v	2	20
F210055	榻榻米	n	3	34
F210055	罗圈腿	n	3	32
F210056	谈笑	v	2	20
F210056	轻柔	a	2	18
F210056	情态	n	2	19
F210056	敬语	n	2	21
F210057	字斟句酌	i	4	34
F210060	岛国	n	2	15
F210062	酒店	n	2	18
F210064	中国语	nz	3	21
F210066	赏识	vn	2	19
F210067	女招待	n	3	20
F210067	调笑	v	2	20
F210068	已婚	v	2	14
F210070	玩乐	v	2	13
F210073	网球	n	2	17
F210073	磁	ng	1	14
F210074	酬	ng	1	13
F210077	卤鸡	n	2	14
F210077	胗	g	1	9
F210077	赞不绝口	i	4	32
F210077	好吃	a	2	12
F210078	面面相觑	i	4	42
F210079	唏嘘	v	2	23
F210079	旦那	nz	2	11
F210080	财权	n	2	13
F210080	经手	v	2	12
F220001	知己知彼	i	4	27
F220001	百战不殆	i	4	28
F220002	凡事预则立	i	5	32
F220002	不预则废	i	4	28
F220007	非常规	b	3	27
F220007	危	ag	1	6
F220009	落聘	v	2	25
F220014	就读	v	2	22
F220017	填报	v	2	20
F220017	志愿	n	2	21
F220017	２２．９４％	m	6	0
F220017	对号	vd	2	11
F220017	入座	v	2	12
F220017	１２．４２％	m	6	0
F220017	３５．４１％	m	6	0
F220020	手足无措	i	4	26
F220023	用人	vn	2	7
F220027	求职者	n	3	26
F220028	稍纵即逝	i	4	36
F220029	指名	v	2	15
F220030	后门	n	2	9
F220031	实情	n	2	19
F220032	试行	v	2	14
F220033	自荐	vn	2	15
F220034	复函	n	2	17
F220035	凑巧	a	2	16
F220036	助理	n	2	18
F220036	在校	vn	2	16
F220037	下层	f	2	10
F220039	择业	vn	2	13
F220042	直面	v	2	17
F220055	面谈	v	2	19
F220061	政法	j	2	17
F220062	优厚	a	2	15
F220064	知之甚少	l	4	24
F220067	预选	vn	2	19
F220071	心中有数	i	4	27
F230003	望子成才	i	4	23
F230006	爱子	n	2	13
F230008	１１８３	m	4	0
F230008	发人深思	l	4	27
F230009	３９．８％	m	5	0
F230010	１９％	m	3	0
F230012	７．５％	m	4	0
F230013	７．１％	m	4	0
F230013	０．８％	m	4	0
F230014	洛普	nr	2	21
F230014	百分比	n	3	14
F230015	心满意足	i	4	37
F230016	１４％	m	3	0
F230018	黯淡	a	2	32
F230018	屈居	v	2	16
F230018	娃儿	n	2	11
F230018	０．４	m	3	0
F230019	１０．２％	m	5	0
F230019	脑力劳动	l	4	25
F230019	白领	n	2	16
F230021	形形色色	i	4	26
F230022	祖宗	n	2	17
F230023	金光灿灿	a	4	28
F230024	仕途	n	2	15
F230024	当官	v	2	14
F230027	名利	n	2	13
F230027	当头	v	2	11
F230028	探	v	1	11
F230029	照映	n	2	22
F230032	从政	v	2	13
F230032	紧跟	v	2	23
F230032	诠注	n	2	16
F230033	挂帅	v	2	14
F230034	大势	n	2	11
F230035	知识型	n	3	24
F230037	１９７７年	t	5	0
F230038	２７万	m	3	0
F230041	９．４	m	3	0
F230043	无用	v	2	9
F230043	含金量	n	3	27
F230044	社会性	n	3	21
F230049	于是乎	c	3	18
F230049	复习	vn	2	12
F230050	落第	v	2	23
F230051	亲骨肉	n	3	24
F230051	独木桥	n	3	23
F230053	等号	n	2	18
F230059	成风	v	2	10
F230060	１．２９	m	4	0
F230061	１．１５	m	4	0
F230067	涉外	vn	2	15
F230068	理科	n	2	20
F230068	尖子	n	2	9
F230075	裹足不前	i	4	34
F230077	撤销	v	2	27
F230078	１４００	m	4	0
F230078	从业	b	2	9
F230078	２２００	m	4	0
F230078	１９００	m	4	0
F230079	收税	v	2	18
F230080	行当	n	2	12
F230085	婚事	n	2	19
F230085	奢	ag	1	11
F230086	五彩	b	2	15
F230086	炫目	a	2	14
F230088	新郎	n	2	20
F230088	筵席	n	2	22
F230088	侍者	n	2	16
F230089	婚宴	n	2	21
F230089	出手不凡	l	4	16
F230089	一把把	m	3	15
F230089	戒指	n	2	16
F230090	贩运	v	2	15
F230091	酒筵	n	2	22
F240001	妻管严	l	3	29
F240002	气管炎	n	3	26
F240002	戏称	n	2	16
F240003	杂志社	n	3	20
F240003	９２８	m	3	0
F240004	病症	n	2	20
F240005	卑	ag	1	8
F240005	２０．３％	m	5	0
F240005	４７．７％	m	5	0
F240006	１２．２％	m	5	0
F240007	２．８％	m	4	0
F240008	６．５％	m	4	0
F240012	４４．９％	m	5	0
F240012	６６．２％	m	5	0
F240012	５８．０％	m	5	0
F240012	６２．４％	m	5	0
F240012	５１．９％	m	5	0
F240013	４９．４％	m	5	0
F240013	５５．１％	m	5	0
F240013	５６．２％	m	5	0
F240015	５１．１５％	m	6	0
F240015	４６．９％	m	5	0
F240015	６３．９％	m	5	0
F240015	６８．２％	m	5	0
F240016	５５．０％	m	5	0
F240016	４８．５％	m	5	0
F240018	形态各异	l	4	37
F240020	独揽	v	2	21
